diagnosis,triage_color
abdominal aortic aneurysm,red
abdominal hernia,orange
abscess of nose,orange
abscess of the lung,orange
abscess of the pharynx,orange
acanthosis nigricans,orange
acariasis,orange
achalasia,orange
acne,green
actinic keratosis,orange
acute bronchiolitis,orange
acute bronchitis,orange
acute bronchospasm,orange
acute fatty liver of pregnancy (aflp),red
acute glaucoma,red
acute kidney injury,red
acute otitis media,orange
acute pancreatitis,red
acute respiratory distress syndrome (ards),red
acute sinusitis,orange
acute stress reaction,orange
adhesive capsulitis of the shoulder,orange
adjustment reaction,orange
adrenal adenoma,orange
adrenal cancer,orange
alcohol abuse,orange
alcohol intoxication,orange
alcohol withdrawal,red
alcoholic liver disease,orange
allergy,green
allergy to animals,green
alopecia,green
alzheimer disease,orange
amblyopia,orange
amyloidosis,orange
amyotrophic lateral sclerosis (als),orange
anal fissure,orange
anal fistula,orange
anemia,orange
anemia due to chronic kidney disease,orange
anemia due to malignancy,orange
anemia of chronic disease,orange
angina,red
ankylosing spondylitis,orange
anxiety,orange
aortic valve disease,orange
aphakia,orange
aphthous ulcer,green
aplastic anemia,orange
appendicitis,red
arrhythmia,orange
arthritis of the hip,orange
ascending cholangitis,red
asperger syndrome,orange
aspergillosis,orange
asthma,orange
astigmatism,orange
atelectasis,orange
athlete's foot,green
atonic bladder,orange
atrial fibrillation,orange
atrial flutter,orange
atrophic skin condition,orange
atrophic vaginitis,orange
atrophy of the corpus cavernosum,orange
attention deficit hyperactivity disorder (adhd),orange
autism,orange
autonomic nervous system disorder,orange
avascular necrosis,orange
balanitis,orange
bell palsy,orange
benign kidney cyst,orange
benign paroxysmal positional vertical (bppv),green
benign prostatic hyperplasia (bph),orange
benign vaginal discharge (leukorrhea),green
bipolar disorder,orange
birth trauma,orange
bladder cancer,orange
bladder disorder,orange
bladder obstruction,red
blepharitis,green
blepharospasm,orange
bone cancer,orange
bone disorder,orange
bone spur of the calcaneous,orange
brachial neuritis,orange
brain cancer,orange
breast cancer,orange
breast cyst,orange
breast infection (mastitis),orange
broken tooth,orange
bunion,orange
burn,orange
bursitis,orange
callus,green
carbon monoxide poisoning,red
carcinoid syndrome,orange
cardiac arrest,orange
cardiomyopathy,orange
carpal tunnel syndrome,orange
cat scratch disease,orange
cataract,orange
celiac disease,orange
cellulitis or abscess of mouth,orange
central atherosclerosis,orange
central retinal artery or vein occlusion,orange
cerebral edema,orange
cerebral palsy,orange
cervical cancer,orange
cervical disorder,orange
cervicitis,orange
chalazion,orange
chickenpox,orange
chlamydia,orange
cholecystitis,orange
choledocholithiasis,orange
cholesteatoma,orange
chondromalacia of the patella,orange
chorioretinitis,orange
chronic back pain,orange
chronic constipation,orange
chronic glaucoma,orange
chronic inflammatory demyelinating polyneuropathy (cidp),orange
chronic kidney disease,orange
chronic knee pain,orange
chronic obstructive pulmonary disease (copd),orange
chronic otitis media,orange
chronic pain disorder,orange
chronic pancreatitis,orange
chronic rheumatic fever,orange
chronic sinusitis,orange
chronic ulcer,orange
cirrhosis,orange
coagulation (bleeding) disorder,orange
cold sore,orange
colonic polyp,orange
colorectal cancer,orange
common cold,green
complex regional pain syndrome,orange
concussion,orange
conduct disorder,orange
conductive hearing loss,orange
congenital heart defect,orange
congenital malformation syndrome,orange
conjunctivitis,orange
conjunctivitis due to allergy,green
conjunctivitis due to bacteria,orange
conjunctivitis due to virus,orange
connective tissue disorder,orange
contact dermatitis,green
conversion disorder,orange
cornea infection,orange
corneal abrasion,orange
corneal disorder,orange
coronary atherosclerosis,orange
cranial nerve palsy,orange
crohn disease,orange
croup,orange
crushing injury,orange
cryptococcosis,orange
cryptorchidism,orange
cushing syndrome,orange
cyst of the eyelid,orange
cystic fibrosis,orange
cysticercosis,orange
cystitis,orange
de quervain disease,orange
decubitus ulcer,orange
deep vein thrombosis (dvt),orange
degenerative disc disease,orange
delirium,orange
dementia,orange
dengue fever,orange
dental caries,orange
depression,orange
dermatitis due to sun exposure,green
developmental disability,orange
deviated nasal septum,orange
diabetes,orange
diabetes insipidus,orange
diabetic ketoacidosis,red
diabetic kidney disease,orange
diabetic peripheral neuropathy,orange
diabetic retinopathy,orange
diaper rash,orange
dislocation of the ankle,orange
dislocation of the elbow,orange
dislocation of the finger,orange
dislocation of the foot,orange
dislocation of the hip,orange
dislocation of the knee,orange
dislocation of the patella,orange
dislocation of the shoulder,orange
dislocation of the vertebra,red
dislocation of the wrist,orange
