specialty_en,specialty_bn,specialist_en,specialist_bn,hospital_en,hospital_bn,Name_en,Name_bn,rating,Speciality,profile_url
Cardiology,কার্ডিওলজি,Cardiologist,হৃদরোগ বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Dr. Nasima Akter,ডাঃ নাসিমা আক্তার,4,Cardiologist (Heart) / Pediatric Cardiology,https://heliumdoc.com/bd/nasima-akter/
Cardiology,কার্ডিওলজি,Cardiologist,হৃদরোগ বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Dr. Shahedul Amin Robin,ডঃ শাহেদুল আমিন রবিন,4.5,Cardiologist (Heart),https://heliumdoc.com/bd/shahedul-amin-robin/
Cardiology,কার্ডিওলজি,Cardiologist,হৃদরোগ বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Dr. Prasanta K Chanda,ডঃ প্রশান্ত কে চন্দ,4,Cardiologist (Heart) / Cardiovascular Surgery,https://heliumdoc.com/bd/prasanta-k-chanda/
Cardiology,কার্ডিওলজি,Cardiologist,হৃদরোগ বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Dr. Asif Manwar,ডাঃ আসিফ মানওয়ার,4,Cardiologist (Heart),https://heliumdoc.com/bd/asif-manwar/
Cardiology,কার্ডিওলজি,Cardiologist,হৃদরোগ বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Dr. A.K.M Akramul Haque,ডাঃ এ.কে.এম আকরামুল হক,4.7,"Thoracic Surgeon (Heart, Chest and Lungs)",https://heliumdoc.com/bd/a-k-m-akramul-haque/
Neurology,নিউরোলজি,Neurologist,স্নায়ুরোগ বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Dr. Sirajee Shafiqul Islam,,4.8,Neurosurgeon (Brain Spine Nerves),https://heliumdoc.com/bd/sirajee-shafiqul-islam/
Neurology,নিউরোলজি,Neurologist,স্নায়ুরোগ বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Dr. Rejaus Satter,Dr. Rejaus Satter,4.7,Neurosurgeon (Brain Spine Nerves),https://heliumdoc.com/bd/rejaus-satter/
Neurology,নিউরোলজি,Neurologist,স্নায়ুরোগ বিশেষজ্ঞ,Bangladesh Specialized Hospital,বাংলাদেশ স্পেশালাইজড হাসপাতাল,Dr. Amirul Haque,ডাঃ আমিরুল হক,4,Neurosurgeon (Brain Spine Nerves),https://heliumdoc.com/bd/amirul-haque/
ENT,ইএনটি,ENT Specialist,কান নাক ও গলা বিশেষজ্ঞ,Square Hospital,স্কয়ার হাসপাতাল,Dr. Shaheel Mahmood,ডাঃ শাহীল মাহমুদ,4,E.N.T (Ear Nose and Throat) / Oral and Maxillofacial Surgery,https://heliumdoc.com/bd/shaheel-mahmood/
ENT,ইএনটি,ENT Specialist,কান নাক ও গলা বিশেষজ্ঞ,United Hospital,ইউনাইটেড হাসপাতাল,Dr. Mesbah Uddin Ahmed,ডাঃ মেসবাহ উদ্দিন আহমেদ,4,E.N.T (Ear Nose and Throat) / Oral and Maxillofacial Surgery,https://heliumdoc.com/bd/mesbah-uddin-ahmed-1/
